"","SKU","Description","Date","Quantity","Expiration.Date","Days.To.Expiry","Status"
"1495",10343543,"ANL GOLD CHOC 24X300G",2016-09-02,482,2018-02-24,540,"Fresh"
"1517",10343544,"ANL GOLD PLAIN 24X300G",2016-09-02,28,2018-01-11,496,"Fresh"
"1518",10343544,"ANL GOLD PLAIN 24X300G",2016-09-02,833,2018-01-26,511,"Fresh"
"1519",10343544,"ANL GOLD PLAIN 24X300G",2016-09-02,664.5,2018-02-18,534,"Fresh"
"1545",10351199,"ANM CHOC 4X3 800G SUYSING",2016-09-02,6,2017-08-18,350,"Fresh"
"1551",10351200,"ANM PLAIN 4X3 800G SUYSING",2016-09-02,4,2017-08-12,344,"Fresh"
"1552",10351200,"ANM PLAIN 4X3 800G SUYSING",2016-09-02,3,2017-09-09,372,"Fresh"
"1556",10354033,"ANM PLAIN 6X4X180G SUYSING",2016-09-02,1,2017-12-15,469,"Fresh"
"1562",10354037,"ANM CHOC 6X4X180G SUYSING",2016-09-02,4,2017-12-22,476,"Fresh"
"1732",112991,"ANCHOR UHT LITE 12X1L NEW",2016-09-03,338,2017-02-24,174,"Fresh"
"1733",112991,"ANCHOR UHT LITE 12X1L NEW",2016-09-03,4684,2017-03-02,180,"Fresh"
"1734",112991,"ANCHOR UHT LITE 12X1L NEW",2016-09-03,220,2017-03-03,181,"Fresh"
"1735",112991,"ANCHOR UHT LITE 12X1L NEW",2016-09-03,509,2017-03-08,186,"Fresh"
"1754",114511,"UHT MLK ANC FBNZ 12x1LTR (NEW)",2016-09-03,14,2017-02-28,178,"Fresh"
"1755",114511,"UHT MLK ANC FBNZ 12x1LTR (NEW)",2016-09-03,7.41666666666667,2017-03-01,179,"Fresh"
"1756",114511,"UHT MLK ANC FBNZ 12x1LTR (NEW)",2016-09-03,1487,2017-04-02,211,"Fresh"
"1759",114511,"UHT MLK ANC FBNZ 12x1LTR (NEW)",2016-09-03,12,2017-04-09,218,"Fresh"
"1802",1053009,"Anchor FCMP 24x150g",2016-09-03,210,2017-10-27,419,"Fresh"
"1803",1053009,"Anchor FCMP 24x150g",2016-09-03,269,2017-10-30,422,"Fresh"
"1808",1053010,"ANCHOR FCMP 24 X 350G",2016-09-03,1,2017-10-20,412,"Fresh"
"1809",1053010,"ANCHOR FCMP 24 X 350G",2016-09-03,299,2017-10-30,422,"Fresh"
"1820",1053011,"ANCHOR FCMP 12 X700G",2016-09-03,839,2017-10-30,422,"Fresh"
"1821",1053011,"ANCHOR FCMP 12 X700G",2016-09-03,568,2017-11-19,442,"Fresh"
"1832",1057371,"ANCHOR FCMP 6X1.8kg (Phillipines)",2016-09-03,553,2019-04-06,945,"Fresh"
"1833",1057371,"ANCHOR FCMP 6X1.8kg (Phillipines)",2016-09-03,1492,2019-07-25,1055,"Fresh"
"1854",1063485,"ANMUM MATERNA PLAIN 24X180G (LEDA)",2016-09-03,851,2018-01-28,512,"Fresh"
"1865",1063486,"ANMUM MAT CHOC 24x180G LEDA",2016-09-03,925,2018-01-28,512,"Fresh"
"1877",1063488,"ANMUM MATERNA PLAIN 24X375G (LEDA)",2016-09-03,1,2018-01-03,487,"Fresh"
"1878",1063488,"ANMUM MATERNA PLAIN 24X375G (LEDA)",2016-09-03,987,2018-01-18,502,"Fresh"
"1889",1063491,"ANMUM CHOC 24X375G",2016-09-03,552,2018-01-16,500,"Fresh"
"1890",1063491,"ANMUM CHOC 24X375G",2016-09-03,725,2018-02-24,539,"Fresh"
"1900",1063581,"ANMUM CHOCO 80X46G",2016-09-03,556.075,2017-08-23,354,"Fresh"
"1910",1063645,"ANMUM MATERNA 24X375G",2016-09-03,2,2017-12-04,457,"Fresh"
"1914",1063647,"ANMUM MATERNA CHOCO 24X375G",2016-09-03,12,2017-06-13,283,"Fresh"
"1918",1064002,"ANMUM VANILLA MANGO 24X180G",2016-09-03,30,2017-12-05,458,"Fresh"
"1919",1064002,"ANMUM VANILLA MANGO 24X180G",2016-09-03,866,2018-01-29,513,"Fresh"
"1924",1064003,"ANMUM VANILLA MANGO 24X375G",2016-09-03,462,2018-01-29,513,"Fresh"
"1928",1064023,"ANMUM VANILLA MANGO 80X37.5 G",2016-09-03,48,2017-05-13,252,"Fresh"
"1929",1064023,"ANMUM VANILLA MANGO 80X37.5 G",2016-09-03,583.925,2017-09-05,367,"Fresh"
